"","species","dayTemp","family","n"
"1081","lac",40,300,2
"1082","lac",40,301,2
"1083","lac",40,302,1
"1084","lac",40,303,2
"1085","lac",40,304,2
"1086","lac",40,305,2
"1087","lac",40,306,2
"1088","lac",45,293,2
"1089","lac",45,294,2
"1090","lac",45,295,2
"1091","lac",45,296,2
"1092","lac",45,297,2
"1093","lac",45,298,1
"1094","lac",45,299,2
"1095","lac",45,300,2
"1096","lac",45,301,1
"1097","lac",45,302,2
"1098","lac",45,303,2
"1099","lac",45,304,2
"1100","lac",45,305,2
"1101","lac",45,306,2
"1102","lac",50,293,2
"1103","lac",50,294,2
"1104","lac",50,295,2
"1105","lac",50,296,1
"1106","lac",50,297,2
"1107","lac",50,299,1
"1108","lac",50,300,2
"1109","lac",50,303,1
"1110","lac",50,304,1
"1111","lac",50,305,2
"1112","lac",50,306,2
"1113","nor",15,192,2
"1114","nor",15,195,2
"1115","nor",15,198,2
"1116","nor",15,200,2
"1117","nor",15,201,2
"1118","nor",15,202,2
"1119","nor",15,207,2
"1120","nor",15,208,2
"1121","nor",15,210,1
"1122","nor",15,211,2
"1123","nor",15,213,2
"1124","nor",15,219,1
"1125","nor",15,220,2
"1126","nor",15,223,2
"1127","nor",15,224,2
"1128","nor",15,227,2
"1129","nor",15,229,2
"1130","nor",15,233,2
"1131","nor",20,192,2
"1132","nor",20,195,2
"1133","nor",20,198,1
"1134","nor",20,200,2
"1135","nor",20,201,2
"1136","nor",20,202,1
"1137","nor",20,207,2
"1138","nor",20,208,1
"1139","nor",20,210,2
"1140","nor",20,211,2
"1141","nor",20,219,2
"1142","nor",20,220,2
"1143","nor",20,223,2
"1144","nor",20,224,2
"1145","nor",20,227,2
"1146","nor",20,229,2
"1147","nor",20,233,2
"1148","nor",25,192,2
"1149","nor",25,198,2
"1150","nor",25,200,2
"1151","nor",25,201,2
"1152","nor",25,202,1
"1153","nor",25,207,2
"1154","nor",25,210,2
"1155","nor",25,211,2
"1156","nor",25,213,2
"1157","nor",25,219,1
"1158","nor",25,220,2
"1159","nor",25,223,2
"1160","nor",25,224,2
"1161","nor",25,227,2
