"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[656]",-0.34,0,0.13,-0.64,-0.42,-0.32,-0.24,-0.14,11569.65,1
"log_lik[657]",-0.63,0,0.21,-1.1,-0.75,-0.6,-0.48,-0.3,11431.64,1
"log_lik[658]",-0.63,0,0.21,-1.1,-0.75,-0.6,-0.48,-0.3,11431.64,1
"log_lik[659]",-0.63,0,0.21,-1.1,-0.75,-0.6,-0.48,-0.3,11431.64,1
"log_lik[660]",-1.79,0,0.35,-2.52,-2.02,-1.78,-1.56,-1.17,8614.1,1
"log_lik[661]",-0.91,0,0.3,-1.59,-1.09,-0.87,-0.69,-0.43,11080.58,1
"log_lik[662]",-1.82,0,0.34,-2.54,-2.03,-1.8,-1.58,-1.21,8003.83,1
"log_lik[663]",-1.7,0,0.31,-2.36,-1.9,-1.68,-1.48,-1.12,8889.5,1
"log_lik[664]",-1.7,0,0.31,-2.36,-1.9,-1.68,-1.48,-1.12,8889.5,1
"log_lik[665]",-1.03,0,0.33,-1.79,-1.24,-1,-0.79,-0.48,11108.75,1
"log_lik[666]",-1.73,0,0.31,-2.41,-1.93,-1.72,-1.52,-1.18,9771.39,1
"log_lik[667]",-1.03,0,0.33,-1.79,-1.24,-1,-0.79,-0.48,11108.75,1
"log_lik[668]",-2.36,0,0.49,-3.54,-2.63,-2.28,-2.01,-1.61,15858.22,1
"log_lik[669]",-1.7,0,0.31,-2.37,-1.9,-1.69,-1.49,-1.13,8834.17,1
"log_lik[670]",-1.7,0,0.31,-2.37,-1.9,-1.69,-1.49,-1.13,8834.17,1
"log_lik[671]",-1.7,0,0.31,-2.37,-1.9,-1.69,-1.49,-1.13,8834.17,1
"log_lik[672]",-0.92,0,0.29,-1.58,-1.1,-0.89,-0.71,-0.44,11325.57,1
"log_lik[673]",-1.83,0,0.38,-2.64,-2.06,-1.8,-1.57,-1.16,8719.02,1
"log_lik[674]",-0.61,0,0.2,-1.08,-0.73,-0.58,-0.46,-0.29,11051.47,1
"log_lik[675]",-0.61,0,0.2,-1.08,-0.73,-0.58,-0.46,-0.29,11051.47,1
"log_lik[676]",-0.61,0,0.2,-1.08,-0.73,-0.58,-0.46,-0.29,11051.47,1
"log_lik[677]",-3.8,0.01,1.33,-7.03,-4.49,-3.55,-2.83,-1.96,12876.29,1
"log_lik[678]",-0.29,0,0.13,-0.58,-0.36,-0.27,-0.19,-0.09,10043.22,1
"log_lik[679]",-0.29,0,0.13,-0.58,-0.36,-0.27,-0.19,-0.09,10043.22,1
"log_lik[680]",-0.29,0,0.13,-0.58,-0.36,-0.27,-0.19,-0.09,10043.22,1
"log_lik[681]",-0.05,0,0.06,-0.21,-0.08,-0.04,-0.02,0.03,9609.15,1
"log_lik[682]",-0.05,0,0.06,-0.21,-0.08,-0.04,-0.02,0.03,9609.15,1
"log_lik[683]",-0.05,0,0.06,-0.21,-0.08,-0.04,-0.02,0.03,9609.15,1
"log_lik[684]",-0.05,0,0.06,-0.21,-0.08,-0.04,-0.02,0.03,9609.15,1
"log_lik[685]",-0.12,0,0.07,-0.3,-0.15,-0.1,-0.06,-0.02,10899.93,1
