"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"x_min[14]",-20.96,0.02,1.24,-23.4,-21.8,-20.93,-20.11,-18.56,2815.99,1
"x_min[15]",-21.43,0.02,1.2,-23.8,-22.23,-21.42,-20.63,-19.11,2599.15,1
"x_min[16]",-21.18,0.02,1.23,-23.64,-22.02,-21.16,-20.35,-18.81,2684.71,1
"x_min[17]",-21.23,0.02,1.23,-23.66,-22.07,-21.24,-20.38,-18.82,2640.53,1
"x_min[18]",-21.22,0.02,1.2,-23.6,-22.03,-21.2,-20.41,-18.88,2343.59,1
"x_max[1]",18.09,0.02,1.11,16.04,17.32,18.03,18.81,20.42,5066.75,1
"x_max[2]",18.13,0.02,1.17,15.9,17.33,18.11,18.92,20.46,5159.44,1
"x_max[3]",18.18,0.02,1.16,15.99,17.39,18.16,18.96,20.51,4542.59,1
"x_max[4]",18.08,0.02,1.14,15.96,17.28,18.04,18.84,20.42,4992.23,1
"x_max[5]",17.75,0.02,1.2,15.41,16.94,17.75,18.57,20.15,5298.04,1
"x_max[6]",18.12,0.02,1.16,15.9,17.34,18.12,18.89,20.44,5386.6,1
"x_max[7]",17.87,0.02,1.21,15.52,17.07,17.85,18.68,20.26,4760.52,1
"x_max[8]",17.85,0.02,1.18,15.57,17.06,17.84,18.62,20.21,4419.7,1
"x_max[9]",17.94,0.02,1.2,15.68,17.11,17.93,18.75,20.33,5147.73,1
"x_max[10]",18.18,0.02,1.14,16.05,17.39,18.13,18.93,20.48,5280.37,1
"x_max[11]",17.84,0.02,1.21,15.49,17.03,17.82,18.65,20.3,5169.59,1
"x_max[12]",17.94,0.02,1.21,15.61,17.12,17.91,18.74,20.35,5233.11,1
"x_max[13]",19.02,0.02,1.12,16.48,18.37,19.06,19.73,21.09,4744.07,1
"x_max[14]",17.7,0.02,1.18,15.38,16.92,17.68,18.49,20.04,4491.52,1
"x_max[15]",18.02,0.02,1.17,15.79,17.21,17.99,18.79,20.35,4444.2,1
"x_max[16]",18.08,0.02,1.19,15.74,17.27,18.06,18.88,20.47,4563.75,1
"x_max[17]",17.88,0.02,1.18,15.57,17.08,17.87,18.67,20.18,4853.86,1
"x_max[18]",18.2,0.02,1.14,16.05,17.39,18.16,18.95,20.54,5232.8,1
"mu[1]",0.06,0,0.05,0,0.02,0.04,0.07,0.2,6378.06,1
"mu[2]",0.06,0,0.05,0,0.02,0.04,0.07,0.2,6378.06,1
"mu[3]",0.34,0,0.16,0.1,0.23,0.32,0.43,0.7,8760.16,1
"mu[4]",0.34,0,0.16,0.1,0.23,0.32,0.43,0.7,8760.16,1
"mu[5]",0.86,0,0.25,0.4,0.69,0.85,1.01,1.38,10140.7,1
"mu[6]",0.86,0,0.25,0.4,0.69,0.85,1.01,1.38,10140.7,1
"mu[7]",1.5,0,0.35,0.85,1.27,1.49,1.71,2.23,9829.59,1
"mu[8]",1.5,0,0.35,0.85,1.27,1.49,1.71,2.23,9829.59,1
"mu[9]",2.02,0,0.46,1.19,1.71,1.99,2.29,3.01,9241.5,1
"mu[10]",2.02,0,0.46,1.19,1.71,1.99,2.29,3.01,9241.5,1
"mu[11]",2.03,0.01,0.49,1.17,1.71,2,2.32,3.08,9376.59,1
"mu[12]",2.03,0.01,0.49,1.17,1.71,2,2.32,3.08,9376.59,1
"mu[13]",1.25,0,0.36,0.62,1.01,1.23,1.47,2.03,9533.88,1
"mu[14]",1.25,0,0.36,0.62,1.01,1.23,1.47,2.03,9533.88,1
"mu[15]",0.12,0,0.13,0,0.01,0.08,0.17,0.46,8233.68,1
"mu[16]",0.12,0,0.13,0,0.01,0.08,0.17,0.46,8233.68,1
"mu[17]",0.22,0,0.25,0,0.02,0.12,0.34,0.87,4418,1
"mu[18]",0.22,0,0.25,0,0.02,0.12,0.34,0.87,4418,1
"mu[19]",0.65,0.01,0.56,0.03,0.2,0.51,0.98,2,4949.27,1
"mu[20]",1.15,0.01,0.77,0.14,0.53,0.99,1.61,2.98,5444.85,1
"mu[21]",1.56,0.01,0.84,0.34,0.92,1.42,2.05,3.5,6057.82,1
"mu[22]",1.56,0.01,0.84,0.34,0.92,1.42,2.05,3.5,6057.82,1
"mu[23]",1.73,0.01,0.76,0.5,1.17,1.63,2.19,3.45,6844.77,1
"mu[24]",1.73,0.01,0.76,0.5,1.17,1.63,2.19,3.45,6844.77,1
"mu[25]",1.48,0.01,0.61,0.43,1.05,1.43,1.85,2.82,8039,1
"mu[26]",1.48,0.01,0.61,0.43,1.05,1.43,1.85,2.82,8039,1
"mu[27]",0.8,0,0.41,0.14,0.51,0.76,1.04,1.73,9586.9,1
"mu[28]",0.8,0,0.41,0.14,0.51,0.76,1.04,1.73,9586.9,1
"mu[29]",0.08,0,0.12,0,0,0.03,0.11,0.41,7280.97,1
"mu[30]",0.08,0,0.12,0,0,0.03,0.11,0.41,7280.97,1
"mu[31]",0.46,0,0.21,0.08,0.31,0.45,0.59,0.88,5994.2,1
"mu[32]",0.46,0,0.21,0.08,0.31,0.45,0.59,0.88,5994.2,1
