"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[109]",0.57,0.01,0.42,0.05,0.24,0.47,0.8,1.6,6755.51,1
"mu[110]",0.12,0,0.19,0,0,0.02,0.19,0.66,5341.33,1
"mu[111]",0.12,0,0.19,0,0,0.02,0.19,0.66,5341.33,1
"mu[112]",0,0,0,0,0,0,0,0,6893.55,1
"mu[113]",0,0,0,0,0,0,0,0,6893.55,1
"mu[114]",0.02,0,0.03,0,0,0.01,0.03,0.11,5938.62,1
"mu[115]",0.02,0,0.03,0,0,0.01,0.03,0.11,5938.62,1
"mu[116]",0.15,0,0.13,0.01,0.06,0.12,0.21,0.49,7645.53,1
"mu[117]",0.15,0,0.13,0.01,0.06,0.12,0.21,0.49,7645.53,1
"mu[118]",0.53,0,0.29,0.12,0.31,0.48,0.69,1.22,10561.47,1
"mu[119]",0.53,0,0.29,0.12,0.31,0.48,0.69,1.22,10561.47,1
"mu[120]",1.22,0,0.46,0.49,0.9,1.17,1.48,2.27,12889.35,1
"mu[121]",1.22,0,0.46,0.49,0.9,1.17,1.48,2.27,12889.35,1
"mu[122]",1.9,0.01,0.59,0.94,1.5,1.84,2.22,3.28,12579.83,1
"mu[123]",1.9,0.01,0.59,0.94,1.5,1.84,2.22,3.28,12579.83,1
"mu[124]",1.58,0.01,0.72,0.45,1.05,1.5,1.99,3.22,10200.63,1
"mu[125]",1.58,0.01,0.72,0.45,1.05,1.5,1.99,3.22,10200.63,1
"mu[126]",0.23,0,0.27,0,0.01,0.14,0.37,0.94,6929.08,1
"mu[127]",0.23,0,0.27,0,0.01,0.14,0.37,0.94,6929.08,1
"mu[128]",0,0,0,0,0,0,0,0,7485.9,1
"mu[129]",0,0,0,0,0,0,0,0,7485.9,1
"mu[130]",0.02,0,0.02,0,0.01,0.02,0.03,0.09,5483.79,1
"mu[131]",0.02,0,0.02,0,0.01,0.02,0.03,0.09,5483.79,1
"mu[132]",0.29,0,0.14,0.09,0.19,0.26,0.36,0.65,6563.02,1
"mu[133]",0.29,0,0.14,0.09,0.19,0.26,0.36,0.65,6563.02,1
"mu[134]",1.37,0,0.36,0.78,1.12,1.33,1.57,2.15,8966.94,1
"mu[135]",1.37,0,0.36,0.78,1.12,1.33,1.57,2.15,8966.94,1
"mu[136]",3.76,0.01,0.58,2.69,3.36,3.72,4.11,4.99,12299.6,1
"mu[137]",3.76,0.01,0.58,2.69,3.36,3.72,4.11,4.99,12299.6,1
"mu[138]",6.13,0.01,1.01,4.32,5.43,6.05,6.74,8.35,8278.5,1
"mu[139]",6.13,0.01,1.01,4.32,5.43,6.05,6.74,8.35,8278.5,1
"mu[140]",3.94,0.01,1,2.33,3.25,3.81,4.5,6.27,10931.95,1
"mu[141]",3.94,0.01,1,2.33,3.25,3.81,4.5,6.27,10931.95,1
"mu[142]",0.11,0,0.16,0,0,0.04,0.17,0.56,9050.13,1
"mu[143]",0.11,0,0.16,0,0,0.04,0.17,0.56,9050.13,1
"mu[144]",0,0,0,0,0,0,0,0,7001.77,1
"mu[145]",0,0,0,0,0,0,0,0,7001.77,1
"mu[146]",0.01,0,0.02,0,0,0,0.01,0.06,5687.22,1
"mu[147]",0.01,0,0.02,0,0,0,0.01,0.06,5687.22,1
"mu[148]",0.1,0,0.1,0.01,0.03,0.07,0.13,0.36,6697.36,1
"mu[149]",0.1,0,0.1,0.01,0.03,0.07,0.13,0.36,6697.36,1
"mu[150]",0.42,0,0.27,0.08,0.23,0.36,0.55,1.08,8297.98,1
"mu[151]",0.42,0,0.27,0.08,0.23,0.36,0.55,1.08,8297.98,1
"mu[152]",1.18,0.01,0.51,0.4,0.81,1.1,1.48,2.38,10097.17,1
"mu[153]",1.18,0.01,0.51,0.4,0.81,1.1,1.48,2.38,10097.17,1
"mu[154]",2.3,0.01,0.77,1.05,1.76,2.2,2.73,4.08,10344.26,1
"mu[155]",2.3,0.01,0.77,1.05,1.76,2.2,2.73,4.08,10344.26,1
"mu[156]",2.63,0.01,0.88,1.22,2.03,2.53,3.1,4.67,10424.58,1
"mu[157]",2.63,0.01,0.88,1.22,2.03,2.53,3.1,4.67,10424.58,1
"mu[158]",0.59,0,0.45,0,0.27,0.53,0.83,1.65,8343.08,1
"mu[159]",0.59,0,0.45,0,0.27,0.53,0.83,1.65,8343.08,1
"mu[160]",0,0,0,0,0,0,0,0,5524.72,1
"mu[161]",0,0,0,0,0,0,0,0,5524.72,1
"mu[162]",0.01,0,0.02,0,0,0.01,0.01,0.05,3351.01,1
"mu[163]",0.01,0,0.02,0,0,0.01,0.01,0.05,3351.01,1
"mu[164]",0.07,0,0.05,0.01,0.03,0.06,0.1,0.22,5557.62,1
"mu[165]",0.07,0,0.05,0.01,0.03,0.06,0.1,0.22,5557.62,1
"mu[166]",0.25,0,0.11,0.08,0.17,0.24,0.32,0.52,9609.74,1
"mu[167]",0.25,0,0.11,0.08,0.17,0.24,0.32,0.52,9609.74,1
"mu[168]",0.56,0,0.16,0.27,0.45,0.55,0.66,0.91,11533.05,1
"mu[169]",0.56,0,0.16,0.27,0.45,0.55,0.66,0.91,11533.05,1
"mu[170]",0.78,0,0.19,0.43,0.64,0.76,0.89,1.2,8828.3,1
"mu[171]",0.78,0,0.19,0.43,0.64,0.76,0.89,1.2,8828.3,1
"mu[172]",0.47,0,0.21,0.15,0.32,0.44,0.59,0.97,9464.98,1
