"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"x_min[5]",-18.99,0.03,1.32,-21.57,-19.88,-18.98,-18.09,-16.42,2639.45,1
"x_min[6]",-19.13,0.03,1.36,-21.82,-20.04,-19.13,-18.19,-16.48,2492.45,1
"x_min[7]",-18.9,0.03,1.34,-21.58,-19.81,-18.9,-17.99,-16.32,2601.56,1
"x_min[8]",-18.94,0.03,1.34,-21.56,-19.86,-18.94,-18.02,-16.33,2280.75,1
"x_min[9]",-18.95,0.03,1.36,-21.63,-19.86,-18.96,-18.03,-16.26,2452.96,1
"x_min[10]",-19.09,0.03,1.32,-21.63,-20,-19.11,-18.19,-16.5,2521.31,1
"x_min[11]",-18.82,0.03,1.36,-21.54,-19.73,-18.81,-17.91,-16.14,2484.65,1
"x_min[12]",-18.85,0.03,1.34,-21.5,-19.74,-18.86,-17.95,-16.21,2406.59,1
"x_min[13]",-18.94,0.03,1.35,-21.57,-19.85,-18.94,-18.02,-16.25,2447.15,1
"x_max[1]",17.38,0.01,1.07,15.31,16.69,17.35,18.06,19.55,6336.65,1
"x_max[2]",17.11,0.02,1.25,14.7,16.24,17.1,17.95,19.59,6677.19,1
"x_max[3]",17.63,0.01,1.16,15.36,16.84,17.63,18.38,19.98,6480.66,1
"x_max[4]",17.73,0.01,1.14,15.54,16.96,17.71,18.47,20.03,6794.67,1
"x_max[5]",17.96,0.01,1.16,15.59,17.21,18.01,18.73,20.18,6286.7,1
"x_max[6]",17.7,0.01,1.08,15.71,16.96,17.65,18.39,19.96,5868.92,1
"x_max[7]",17.7,0.02,1.23,15.35,16.84,17.7,18.54,20.12,6508.29,1
"x_max[8]",17.75,0.01,1.14,15.57,16.96,17.71,18.51,20.04,6478.06,1
"x_max[9]",17.73,0.01,1.13,15.62,16.95,17.69,18.48,19.99,6451.58,1
"x_max[10]",17.67,0.01,1.09,15.62,16.93,17.62,18.37,19.9,6169.3,1
"x_max[11]",17.19,0.01,1.2,14.89,16.37,17.2,18,19.56,6648.87,1
"x_max[12]",17.32,0.02,1.31,14.82,16.4,17.31,18.23,19.87,6417.45,1
"x_max[13]",17.73,0.01,1.11,15.61,17,17.7,18.44,19.99,6419.81,1
"mu[1]",0,0,0,0,0,0,0,0.01,4982.15,1
"mu[2]",0,0,0,0,0,0,0,0.01,4982.15,1
"mu[3]",0.07,0,0.04,0.01,0.04,0.06,0.09,0.17,8065.09,1
"mu[4]",0.07,0,0.04,0.01,0.04,0.06,0.09,0.17,8065.09,1
"mu[5]",0.35,0,0.12,0.15,0.27,0.34,0.42,0.61,10651.86,1
"mu[6]",0.35,0,0.12,0.15,0.27,0.34,0.42,0.61,10651.86,1
"mu[7]",0.91,0,0.18,0.57,0.79,0.91,1.03,1.31,12100.99,1
"mu[8]",1.62,0,0.22,1.21,1.47,1.61,1.75,2.09,11688.58,1
"mu[9]",1.62,0,0.22,1.21,1.47,1.61,1.75,2.09,11688.58,1
"mu[10]",1.91,0,0.3,1.38,1.7,1.88,2.09,2.56,11031.39,1
"mu[11]",1.91,0,0.3,1.38,1.7,1.88,2.09,2.56,11031.39,1
"mu[12]",0.03,0,0.06,0,0,0,0.04,0.2,9882.32,1
"mu[13]",0.03,0,0.06,0,0,0,0.04,0.2,9882.32,1
"mu[14]",0.02,0,0.03,0,0,0.01,0.02,0.12,5098.77,1
"mu[15]",0.02,0,0.03,0,0,0.01,0.02,0.12,5098.77,1
"mu[16]",0.25,0,0.14,0.05,0.14,0.22,0.32,0.59,7145.08,1
"mu[17]",0.64,0,0.21,0.26,0.49,0.63,0.77,1.11,9272.07,1
"mu[18]",0.64,0,0.21,0.26,0.49,0.63,0.77,1.11,9272.07,1
"mu[19]",1,0,0.22,0.59,0.85,0.99,1.14,1.45,10782.41,1
"mu[20]",1,0,0.22,0.59,0.85,0.99,1.14,1.45,10782.41,1
"mu[21]",1.07,0,0.27,0.64,0.89,1.03,1.21,1.71,5476.91,1
"mu[22]",1.07,0,0.27,0.64,0.89,1.03,1.21,1.71,5476.91,1
"mu[23]",0.72,0.01,0.39,0.3,0.5,0.64,0.83,1.65,3112.37,1
"mu[24]",0.72,0.01,0.39,0.3,0.5,0.64,0.83,1.65,3112.37,1
"mu[25]",0.22,0.01,0.32,0.02,0.08,0.14,0.25,0.88,2271.83,1
"mu[26]",0.01,0,0.06,0,0,0,0,0.04,2960.09,1
"mu[27]",0.01,0,0.06,0,0,0,0,0.04,2960.09,1
"mu[28]",0.02,0,0.03,0,0,0.01,0.02,0.11,4771.46,1
"mu[29]",0.22,0,0.12,0.04,0.13,0.2,0.29,0.5,7070.63,1
"mu[30]",0.56,0,0.19,0.21,0.43,0.55,0.68,0.94,9354.48,1
"mu[31]",0.56,0,0.19,0.21,0.43,0.55,0.68,0.94,9354.48,1
"mu[32]",0.92,0,0.26,0.45,0.75,0.91,1.07,1.46,7662.86,1
"mu[33]",0.92,0,0.26,0.45,0.75,0.91,1.07,1.46,7662.86,1
"mu[34]",1.12,0,0.39,0.5,0.86,1.08,1.33,2.02,6460.48,1
"mu[35]",1.12,0,0.39,0.5,0.86,1.08,1.33,2.02,6460.48,1
"mu[36]",0.45,0,0.29,0.05,0.24,0.41,0.6,1.14,8021.52,1
"mu[37]",0.02,0,0.04,0,0,0,0.02,0.14,9330.18,1
"mu[38]",0.02,0,0.04,0,0,0,0.02,0.14,9330.18,1
"mu[39]",0.02,0,0.04,0,0,0.01,0.03,0.13,4916.24,1
"mu[40]",0.02,0,0.04,0,0,0.01,0.03,0.13,4916.24,1
"mu[41]",0.26,0,0.13,0.05,0.16,0.24,0.34,0.56,7794.42,1
