"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"stretch[4]",1.24,0,0.16,0.95,1.13,1.23,1.34,1.58,8331.44,1
"stretch[5]",0.64,0,0.13,0.42,0.55,0.63,0.72,0.92,12449.29,1
"stretch[6]",0.59,0,0.15,0.32,0.49,0.58,0.68,0.94,9372.87,1
"stretch[7]",0.26,0,0.11,0.08,0.19,0.26,0.33,0.5,14227.08,1
"stretch[8]",1.01,0,0.15,0.73,0.91,1,1.1,1.31,8440.54,1
"stretch[9]",0.39,0,0.11,0.2,0.32,0.38,0.44,0.64,7704.99,1
"stretch[10]",1.71,0,0.44,0.94,1.41,1.66,1.95,2.72,7967.68,1
"stretch[11]",1.47,0,0.22,1.07,1.32,1.45,1.6,1.92,8554.8,1
"stretch[12]",0.82,0,0.21,0.48,0.68,0.8,0.94,1.31,9937.34,1
"stretch[13]",1.34,0,0.25,0.87,1.17,1.33,1.49,1.88,11489.1,1
"stretch[14]",0.21,0,0.03,0.15,0.19,0.21,0.23,0.28,11087.04,1
"min_max[1,1]",-18.65,0.03,1.39,-21.38,-19.59,-18.65,-17.71,-15.94,2480.72,1
"min_max[1,2]",17.3,0.02,1.13,15.12,16.54,17.28,18.04,19.52,4272.09,1
"min_max[2,1]",-18.52,0.03,1.4,-21.23,-19.48,-18.53,-17.57,-15.77,2604.44,1
"min_max[2,2]",17.05,0.02,1.11,14.92,16.3,17.03,17.8,19.3,4870.96,1
"min_max[3,1]",-18.85,0.03,1.37,-21.56,-19.77,-18.85,-17.92,-16.23,2579.09,1
"min_max[3,2]",17.22,0.02,1.21,14.87,16.4,17.2,18.01,19.64,4709.3,1
"min_max[4,1]",-18.56,0.03,1.39,-21.33,-19.49,-18.54,-17.63,-15.89,2473.8,1
"min_max[4,2]",17.34,0.02,1.13,15.17,16.58,17.34,18.11,19.55,4149.41,1
"min_max[5,1]",-18.47,0.03,1.39,-21.2,-19.41,-18.46,-17.55,-15.78,2644.02,1
"min_max[5,2]",17.24,0.02,1.25,14.87,16.36,17.23,18.08,19.74,5167.75,1
"min_max[6,1]",-18.46,0.03,1.39,-21.19,-19.39,-18.47,-17.54,-15.73,2523.29,1
"min_max[6,2]",17.04,0.02,1.25,14.65,16.17,17.03,17.89,19.49,4983.67,1
"min_max[7,1]",-18.56,0.03,1.39,-21.27,-19.49,-18.59,-17.64,-15.79,2562.67,1
"min_max[7,2]",17.5,0.02,1.3,15,16.61,17.5,18.39,20.06,4784.34,1
"min_max[8,1]",-18.97,0.03,1.36,-21.59,-19.89,-18.96,-18.05,-16.28,2450.24,1
"min_max[8,2]",17.32,0.02,1.18,15.01,16.52,17.32,18.09,19.62,4873.27,1
"min_max[9,1]",-18.52,0.03,1.39,-21.28,-19.43,-18.48,-17.6,-15.78,2485.61,1
"min_max[9,2]",17.05,0.02,1.23,14.67,16.21,17.02,17.87,19.49,5394.15,1
"min_max[10,1]",-18.64,0.03,1.41,-21.43,-19.6,-18.63,-17.7,-15.84,2557.66,1
"min_max[10,2]",16.48,0.02,1.2,14.19,15.64,16.44,17.28,18.89,5073.68,1
"min_max[11,1]",-18.57,0.03,1.4,-21.33,-19.49,-18.56,-17.62,-15.84,2544.23,1
"min_max[11,2]",17.08,0.02,1.16,14.83,16.29,17.09,17.87,19.36,4790.97,1
"min_max[12,1]",-18.26,0.03,1.43,-21.06,-19.23,-18.26,-17.3,-15.53,2543.93,1
"min_max[12,2]",16.58,0.02,1.37,13.88,15.62,16.6,17.51,19.2,4220.22,1
"min_max[13,1]",-18.71,0.03,1.37,-21.39,-19.64,-18.71,-17.76,-16.04,2512.29,1
"min_max[13,2]",17.63,0.02,1.34,14.99,16.67,17.67,18.6,20.16,4477.47,1
"min_max[14,1]",-18.32,0.03,1.4,-21.08,-19.25,-18.33,-17.39,-15.58,2581.46,1
"min_max[14,2]",17.54,0.02,1.24,15.14,16.66,17.56,18.41,19.91,4944.01,1
"nu[1]",4.92,0.01,1.12,2.97,4.14,4.82,5.59,7.45,12742.33,1
"nu[2]",5.02,0.01,1.29,2.72,4.11,4.92,5.85,7.76,12711.54,1
"nu[3]",2.98,0.01,0.66,1.77,2.52,2.96,3.41,4.34,12317.94,1
"nu[4]",4.4,0.01,0.87,2.77,3.8,4.37,4.98,6.17,14072.38,1
"nu[5]",3.71,0.01,0.75,2.36,3.18,3.67,4.19,5.29,15917.13,1
"nu[6]",3.23,0.01,0.81,1.77,2.65,3.19,3.74,4.93,13288.32,1
"nu[7]",3.72,0.01,0.89,2.19,3.09,3.65,4.25,5.67,10847.62,1
"nu[8]",4.39,0.01,0.97,2.64,3.71,4.33,5.01,6.43,10266.18,1
"nu[9]",5.31,0.02,1.72,2.38,4.06,5.15,6.41,9.03,9746.78,1
"nu[10]",6.54,0.03,3.1,1.96,4.28,6.08,8.22,13.82,8943.4,1
"nu[11]",3.75,0.01,0.8,2.27,3.19,3.72,4.28,5.4,13321.48,1
"nu[12]",2.81,0.01,0.68,1.63,2.33,2.76,3.22,4.29,10899.56,1
"nu[13]",2.91,0.01,0.71,1.76,2.43,2.83,3.29,4.56,8823.78,1
"nu[14]",9.2,0.01,1.8,5.91,7.94,9.14,10.4,12.9,15364.81,1
"mu_shape1",4.2,0.01,0.37,3.49,3.95,4.2,4.45,4.94,3945.31,1
"mu_shape2",4.23,0.01,0.56,3.22,3.85,4.2,4.6,5.38,2309.77,1
"mu_stretch",0.91,0,0.26,0.4,0.74,0.91,1.09,1.43,15389.21,1
"mu_min",-18.54,0.03,0.98,-20.48,-19.19,-18.54,-17.89,-16.61,1493.34,1
"mu_max",17.16,0.02,0.8,15.6,16.62,17.15,17.71,18.7,2661.41,1
"mu_nu",0.48,0,0.1,0.31,0.41,0.48,0.54,0.7,14602.34,1
"mu_beta0",3.17,0.01,0.6,2.05,2.75,3.16,3.56,4.4,3828.07,1
"mu_beta1",1.33,0.01,0.69,0.07,0.84,1.28,1.77,2.77,3273.56,1
"beta_0[1]",3.3,0.01,1.09,1.22,2.56,3.28,4.02,5.53,8592.07,1
"beta_0[2]",3.31,0.01,1.11,1.18,2.54,3.29,4.05,5.51,8427.98,1
"beta_0[3]",3.43,0.01,1.06,1.4,2.71,3.41,4.13,5.57,8150.51,1
"beta_0[4]",3.47,0.01,1.03,1.54,2.76,3.43,4.14,5.53,7691.87,1
"beta_0[5]",3.4,0.01,1.05,1.43,2.67,3.37,4.09,5.57,8923.97,1
"beta_0[6]",3.36,0.01,1.08,1.3,2.61,3.33,4.07,5.53,8642.79,1
"beta_0[7]",3.44,0.01,1.02,1.53,2.72,3.4,4.12,5.49,9065.61,1
